Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature,Days of accumulation of maximum temperature,Quality
IDCJAC0010,070351,2014,04,09,19.8,1,Y
IDCJAC0010,070351,2014,04,10,17.8,1,Y
IDCJAC0010,070351,2014,04,11,20.6,1,Y
IDCJAC0010,070351,2014,04,12,20.0,1,Y
IDCJAC0010,070351,2014,04,13,20.1,1,Y
IDCJAC0010,070351,2014,04,14,19.6,1,Y
IDCJAC0010,070351,2014,04,15,18.5,1,Y
IDCJAC0010,070351,2014,04,16,19.9,1,Y
IDCJAC0010,070351,2014,04,17,20.3,1,Y
IDCJAC0010,070351,2014,04,18,20.0,1,Y
IDCJAC0010,070351,2014,04,19,16.8,1,Y
IDCJAC0010,070351,2014,04,20,16.2,1,Y
IDCJAC0010,070351,2014,04,21,18.7,1,Y
IDCJAC0010,070351,2014,04,22,20.3,1,Y
IDCJAC0010,070351,2014,04,23,21.0,1,Y
IDCJAC0010,070351,2014,04,24,21.1,1,Y
IDCJAC0010,070351,2014,04,25,16.4,1,Y
IDCJAC0010,070351,2014,04,26,20.3,1,Y
IDCJAC0010,070351,2014,04,27,16.0,1,Y
IDCJAC0010,070351,2014,04,28,20.6,1,Y
IDCJAC0010,070351,2014,04,29,20.7,1,Y
IDCJAC0010,070351,2014,04,30,17.4,1,Y
IDCJAC0010,070351,2014,05,01,15.8,1,Y
IDCJAC0010,070351,2014,05,02,13.9,1,Y
IDCJAC0010,070351,2014,05,03,11.7,1,Y
IDCJAC0010,070351,2014,05,04,12.8,1,Y
IDCJAC0010,070351,2014,05,05,14.9,1,Y
IDCJAC0010,070351,2014,05,06,15.7,1,Y
IDCJAC0010,070351,2014,05,07,15.2,1,Y
IDCJAC0010,070351,2014,05,08,16.1,1,Y
IDCJAC0010,070351,2014,05,09,17.4,1,Y
IDCJAC0010,070351,2014,05,10,14.4,1,Y
IDCJAC0010,070351,2014,05,11,18.5,1,Y
IDCJAC0010,070351,2014,05,12,18.3,1,Y
IDCJAC0010,070351,2014,05,13,18.4,1,Y
IDCJAC0010,070351,2014,05,14,18.3,1,Y
IDCJAC0010,070351,2014,05,15,18.6,1,Y
IDCJAC0010,070351,2014,05,16,20.7,1,Y
IDCJAC0010,070351,2014,05,17,18.6,1,Y
IDCJAC0010,070351,2014,05,18,19.0,1,Y
IDCJAC0010,070351,2014,05,19,20.0,1,Y
IDCJAC0010,070351,2014,05,20,19.0,1,Y
IDCJAC0010,070351,2014,05,21,19.0,1,Y
IDCJAC0010,070351,2014,05,22,20.0,1,Y
IDCJAC0010,070351,2014,05,23,21.0,1,Y
IDCJAC0010,070351,2014,05,24,18.1,1,Y
IDCJAC0010,070351,2014,05,25,20.5,1,Y
IDCJAC0010,070351,2014,05,26,21.7,1,Y
IDCJAC0010,070351,2014,05,27,21.1,1,Y
IDCJAC0010,070351,2014,05,28,15.0,1,Y
IDCJAC0010,070351,2014,05,29,16.7,1,Y
IDCJAC0010,070351,2014,05,30,17.8,1,Y
IDCJAC0010,070351,2014,05,31,16.3,1,Y
IDCJAC0010,070351,2014,06,01,12.1,1,Y
IDCJAC0010,070351,2014,06,02,14.3,1,Y
IDCJAC0010,070351,2014,06,03,12.5,1,Y
IDCJAC0010,070351,2014,06,04,13.8,1,Y
IDCJAC0010,070351,2014,06,05,16.1,1,Y
IDCJAC0010,070351,2014,06,06,14.3,1,Y
IDCJAC0010,070351,2014,06,07,15.0,1,Y
IDCJAC0010,070351,2014,06,08,13.1,1,Y
IDCJAC0010,070351,2014,06,09,15.6,1,Y
IDCJAC0010,070351,2014,06,10,14.4,1,Y
IDCJAC0010,070351,2014,06,11,14.1,1,Y
IDCJAC0010,070351,2014,06,12,14.4,1,Y
IDCJAC0010,070351,2014,06,13,10.9,1,Y
IDCJAC0010,070351,2014,06,14,15.2,1,Y
IDCJAC0010,070351,2014,06,15,15.1,1,Y
IDCJAC0010,070351,2014,06,16,12.3,1,Y
IDCJAC0010,070351,2014,06,17,15.3,1,Y
